,city,state,pop,latitude,longitude,count,count_pop
0,Brooklyn,NY,2300664,40.6501,-73.94958,221,9.605922464123401e-05
1,Atlanta,GA,463878,33.749,-84.38798,153,0.0003298281013542354
2,Queens,NY,2272771,40.68149,-73.83652,12,5.2798984147545e-06
3,Pittsburgh,PA,304391,40.44062,-79.99589,63,0.0002069706397363917
4,Boone,NC,18156,36.21679,-81.67455,6,0.00033046926635822867
5,Baltimore,MD,621849,39.29038,-76.61219,52,8.362158659095696e-05
6,Austin,TX,931830,30.26715,-97.74306,143,0.00015346146829357286
7,Los Angeles,CA,3971883,34.05223,-118.24368,450,0.00011329638863984664
8,Boulder,CO,107349,40.01499,-105.27055,13,0.00012110033628631846
9,Lansing,IL,28349,41.56476,-87.53893,1,3.527461286112385e-05
10,Okemos,MI,21369,42.72226,-84.42747,1,4.6796761664092844e-05
11,Nederland,CO,1520,39.96138,-105.51083,1,0.0006578947368421052
12,Delray Beach,FL,66255,26.46146,-80.07282,12,0.0001811184061580258
13,Boston,MA,667137,42.35843,-71.05977,327,0.0004901541962145707
14,Jacksonville,FL,868031,30.33218,-81.65565,17,1.9584554007863776e-05
15,Columbus,OH,850106,39.96118,-82.99879,78,9.175326371064314e-05
16,Chicago,IL,2720546,41.85003,-87.65005,456,0.00016761341289579372
17,Mesa,AZ,471825,33.42227,-111.82264,25,5.298574683410163e-05
18,Detroit,MI,677116,42.33143,-83.04575,61,9.008796129466738e-05
19,Arlington,VA,207627,38.88101,-77.10428,64,0.000308245074099226
20,Buffalo,NY,258071,42.88645,-78.87837,40,0.00015499610572284372
21,Largo,FL,81000,27.90979,-82.78842,5,6.17283950617284e-05
22,Lansing,MI,115056,42.73253,-84.55553,10,8.691419830343485e-05
23,Dallas,TX,1300092,32.78306,-96.80667,78,5.999575414662962e-05
24,Clearwater,FL,113003,27.96585,-82.8001,5,4.424661292178084e-05
25,Whitefish,MT,7073,48.41108,-114.33763,1,0.0001413827230312456
26,Redfield,AR,1541,34.4451,-92.1832,3,0.001946787800129786
27,Laurel,MD,26215,39.09928,-76.84831,6,0.00022887659736791914
28,Hayward,CA,158289,37.66882,-122.0808,5,3.15877919501671e-05
29,Dallas,GA,12870,33.92371,-84.84077,1,7.77000777000777e-05
30,Seattle,WA,684451,47.60621,-122.33207,269,0.0003930157162455749
31,Wichita,KS,389965,37.69224,-97.33754,123,0.0003154129216724578
32,Rochester,NY,209802,43.15478,-77.61556,27,0.00012869276746646838
33,Albuquerque,NM,559121,35.08449,-106.65114,39,6.975234341046035e-05
34,Berkeley,CA,120972,37.87159,-122.27275,61,0.0005042489171047846
35,Tampa,FL,369075,27.94752,-82.45843,43,0.00011650748492853757
36,Lincoln,NE,277348,40.8,-96.66696,7,2.5239049857940205e-05
